
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
394	23	19	15
395	14	19	23
396	12	17	23
397	20	14	24
398	23	14	18
399	23	12	18
400	17	23	12
401	12	17	23
402	23	18	14
403	21	16	12
404	19	23	14
405	16	25	20
406	16	21	25
407	23	18	14
408	17	21	13
409	23	18	14
410	21	12	17
411	13	17	23
412	14	19	23
413	21	12	16
414	21	13	17
415	20	25	16
416	15	23	19
417	23	15	19
418	25	14	21
419	12	21	16
420	20	25	16
421	25	15	21
422	16	12	21
423	18	23	14
424	23	12	18
425	21	17	12
426	21	13	17
427	73	45	51
428	21	25	16
429	14	18	25
430	23	15	19
431	25	16	20
432	14	23	19
433	48	29	39
434	17	21	25
435	23	18	14
436	14	24	20
437	18	23	14
438	23	12	18
439	13	19	23
440	12	21	16
441	25	20	16
442	17	12	21
443	21	25	16
444	17	12	23
445	15	25	21
446	21	16	12
447	14	19	23
448	19	15	23
449	13	17	23
450	21	17	12
451	16	12	21
452	20	25	16
453	18	12	23
454	19	14	25
455	15	25	21
456	15	19	23
457	12	23	18
458	21	17	12
459	15	25	21
460	23	19	14
461	16	21	12
462	23	15	19
463	23	12	18
464	17	12	23
465	18	25	14
466	17	12	21
467	21	16	12
468	25	21	16
469	21	17	12
470	14	18	23
471	23	14	18
472	12	23	19
473	21	16	25
474	23	15	19
475	21	25	16
476	19	14	25
477	12	21	17
478	23	14	19
479	19	25	14
480	14	18	23
481	15	19	25
482	17	12	21
483	17	12	21
484	12	21	16
485	14	24	20
486	17	23	12
487	23	19	14
488	19	14	23
489	14	18	25
490	17	21	13
491	17	12	21
492	19	14	23
493	21	17	12
494	18	23	14
495	14	44	54
496	23	19	15
497	25	14	21
498	17	12	21
499	14	23	19
500	25	20	16
501	23	14	18
502	17	22	13
503	19	13	23
504	16	20	25
505	23	14	18
506	14	19	23
507	12	23	18
508	25	16	20
509	12	23	18
510	17	12	23
511	25	14	20
512	14	18	23
513	13	17	22
514	23	18	14
515	18	12	23
516	12	16	23
517	17	12	23
518	14	23	19
519	23	12	18
520	18	23	14
521	21	25	17
522	80	70	24
523	25	15	21
524	25	14	21
525	17	12	23
526	21	17	13
527	17	25	9
528	14	19	23
529	12	16	21
530	14	19	23
531	12	21	16
532	23	19	15
533	20	25	16
534	14	23	19
535	23	19	14
536	14	19	23
537	12	23	19
538	14	19	25
539	23	15	19
540	12	16	21
541	23	14	18
542	22	13	17
543	21	17	13
544	14	23	19
545	23	18	14
546	20	16	25
547	14	19	23
548	23	17	13
549	16	25	20
550	21	13	17
551	21	12	16
552	25	20	16
553	20	25	16
554	21	17	13
555	12	17	21
556	16	24	20
557	15	19	25
558	23	15	19
559	14	23	19
560	23	19	14
561	16	12	23
562	22	17	13
563	13	21	17
564	14	19	23
565	21	17	12
566	19	15	23
567	23	19	14
568	23	18	14
569	21	17	12
570	23	12	18
571	12	21	17
572	17	12	21
573	16	20	25
574	13	23	19
575	24	18	14
576	23	13	19
577	16	12	21
578	14	25	20
579	12	21	17
580	12	17	23
581	19	23	14
582	21	12	17
583	24	14	20
584	23	19	15
585	23	19	14
586	23	12	19
587	16	20	25
588	14	23	19
589	25	15	21
590	17	13	23
591	12	23	18
592	25	14	20
593	13	17	21
594	25	14	21
595	23	12	18
596	13	21	17
597	19	23	14
598	20	25	16
599	17	21	12
600	25	19	15
601	14	19	23
602	17	13	21
603	12	21	16
604	21	16	12
605	14	19	23
606	16	20	25
607	21	12	17
608	18	12	23
609	18	14	23
610	13	21	17
611	20	16	24
612	10	14	144
613	19	14	25
614	23	17	13
615	24	14	20
616	15	25	21
617	15	19	23
618	19	25	14
619	20	16	24
620	21	17	12
621	23	18	14
622	23	18	14
623	15	19	23
624	21	16	25
625	19	23	14
626	25	20	16
627	17	12	21
628	21	12	16
629	18	14	24
630	14	20	25
631	17	13	21
632	23	13	19
633	13	23	19
634	14	18	23
635	25	20	16
636	17	12	21
637	17	13	21
638	25	20	16
639	25	21	16
640	21	17	13
641	17	12	21
642	17	21	13
643	19	14	23
644	21	12	17
645	14	19	23
646	14	18	23
647	21	13	17
648	14	19	23
649	17	12	21
650	21	17	12
651	12	17	21
652	21	17	13
653	19	14	23
654	21	12	17
655	17	23	12
656	12	23	19
657	23	14	19
658	14	23	19
659	21	17	13
660	19	15	23
661	18	23	14
662	12	17	21
663	19	14	25
664	58	94	76
665	25	14	21
666	14	25	20
667	25	20	16
668	12	18	23
669	17	21	13
670	21	16	12
671	12	21	17
672	46	36	28
673	18	14	25
674	17	13	21
675	16	25	21
676	14	25	20
677	19	14	25
678	21	17	12
679	21	25	16
680	21	16	12
681	25	20	16
682	15	19	25
683	17	12	23
684	21	17	13
685	15	21	25
686	20	25	16
687	18	23	14
688	12	17	21
689	23	18	14
690	12	16	23
691	20	25	16
692	14	19	23
693	15	25	21
694	21	25	16
695	16	12	21
696	23	18	14
697	13	21	17
698	16	21	12
699	25	17	21
700	21	16	25
701	16	21	12
702	37	46	27
703	21	12	16
704	18	14	23
705	19	14	23
706	21	25	17
707	13	21	17
708	19	15	23
709	20	25	16
710	15	19	23
711	21	12	17
712	23	15	19
713	17	13	23
714	25	14	20
715	21	16	12
716	25	18	14
717	13	23	19
718	13	23	19
719	44	55	50
720	21	12	17
721	20	24	16
722	12	16	23
723	23	19	14
724	20	16	25
725	21	12	16
726	12	23	18
727	23	19	15
728	12	17	23
729	13	17	23
730	14	23	19
731	22	13	17
732	14	20	24
