
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
300	27523	6	14854
301	6376	10613	27455
302	1345	5537	26696
303	6	939	22023
304	20778	25003	12375
305	241	4516	25584
306	13885	18109	5480
307	2883	7122	28202
308	18666	22894	10188
309	1711	5976	27058
310	11215	15403	2727
311	5693	9937	9
312	29023	5	20592
313	10435	14614	1946
314	16857	25342	8414
315	6	4763	21603
316	21378	12995	17127
317	5432	9658	5
318	10178	14314	1693
319	21739	7	13295
320	13251	17385	4734
321	17084	21220	8645
322	29263	4029	20864
323	7	3034	24047
324	127	4308	25476
325	258	8676	25558
326	9460	34697	970
327	7	6837	23705
328	6777	15171	9
329	21633	4	13288
330	4042	12518	29318
331	5	8326	25162
332	18680	27038	10239
333	29117	3805	20738
334	8607	17047	4372
335	28273	2947	24098
336	5	7613	28676
337	1908	10256	5
338	5	5975	22768
339	7838	16273	6
340	5	81	21178
341	27208	4	18686
342	26115	5	17676
343	4	1521	22488
344	19481	27873	15293
345	12396	16616	8218
346	18008	26449	13788
347	1176	9662	9
348	26891	1611	22671
349	5	4495	25591
350	11857	20254	7676
351	5733	9945	7
352	33733	4229	21073
353	26244	17806	22062
354	16534	20806	3871
355	5	2504	19339
356	22288	26570	9631
357	28803	24583	11924
358	27240	23059	10357
359	18385	22652	5720
360	27101	22877	10212
361	6	25445	12825
362	28592	24421	5
363	26267	22088	9421
364	8042	3785	24877
365	26893	22756	10091
366	9053	4826	25926
367	25940	21722	9054
368	3311	11803	7610
369	6	26203	13461
370	138	5	21199
371	11920	7651	5
372	8371	4104	29383
373	1706	3	22719
374	18214	14035	5638
375	23942	19722	11319
376	5	26306	17871
377	14456	10224	1735
378	21812	17592	13370
379	6	27388	23168
380	13654	9477	5214
381	23197	18973	14793
382	7	29030	24807
383	13708	9535	5262
384	22089	17912	13642
385	513	5	25787
386	11310	7139	2851
387	9324	5106	13546
388	4542	303	5
389	13071	8856	4636
390	5739	1558	8
391	8848	4748	380
392	27092	18650	22870
393	20717	12275	16538
394	2406	27679	7
395	9710	1308	5445
396	25716	17270	21496
397	23563	15119	19341
398	5326	6	1067
399	3	21271	25493
400	3170	28493	5
401	2409	27688	6
402	6236	3	1999
403	2481	27767	7
404	11318	2880	7062
405	9302	819	5123
406	18677	5934	10244
407	11210	7	2685
408	14765	2108	6364
409	21655	9062	13214
410	8039	29098	9
411	16927	4326	8466
412	26825	14161	22603
413	29544	16966	25360
414	1549	22646	7
415	21199	8622	17054
416	11353	7	7113
417	13950	1200	9728
418	23951	11328	15516
419	9750	7	1268
420	7	19767	24030
421	23154	10490	14762
422	2821	28057	23834
423	1132	26419	22199
424	5	24547	20325
425	16757	8325	4062
426	7043	28100	5
427	23243	14849	10668
428	22629	9967	14192
429	24066	11409	15740
430	6621	5	27654
431	6357	5	27416
432	8633	7	25558
433	25453	17014	8596
434	26186	13568	9341
435	6	19704	15523
436	7293	24086	19868
437	1638	26959	18524
438	23952	19689	28125
439	8663	5	21283
440	9	18671	10274
441	20377	7707	9
442	33491	16613	12430
443	5315	22200	18021
444	20662	3827	5
445	3	18030	9591
446	27302	14705	6153
447	12081	5	25003
448	20	14514	10435
449	15953	5	28588
450	21728	25955	9207
451	3142	7349	24267
452	1036	5229	22061
453	2022	10430	9
454	16425	3689	7941
455	2764	8	11261
456	6891	2795	15324
457	22836	18657	1869
458	10741	6547	19189
459	5	24000	7098
460	22202	13791	7
461	2268	27545	14901
462	3	24984	8181
463	26301	13651	7
464	27285	14706	6
465	12884	176	17100
466	29553	16495	8
467	2057	1146	159
468	29716	8168	6
469	19936	32535	2953
470	9519	22137	24325
471	27343	18902	2170
472	18868	14687	5
473	24045	15608	7
474	25496	21233	255
475	1493	5	5689
476	11376	7152	15639
477	27281	23155	1908
478	21853	13431	7
479	14014	5440	22477
480	8	22413	5520
481	5581	5	22571
482	15861	11641	5
483	27139	22919	10299
484	5	25942	13289
485	17662	13429	775
486	11928	7809	24606
487	9865	5639	26687
488	28191	23963	7194
489	186	9	12823
490	7	1050	13710
491	11484	15717	28281
492	18257	13998	7
493	7916	12145	24715
494	15995	11778	28654
495	49899	24659	7781
496	812	5	13404
497	23899	19679	2958
498	375	6	8795
499	3	26711	5648
500	15752	11568	24165
501	23780	19557	5
502	24315	20134	5
503	13857	5328	22258
504	719	7	9216
505	6	28874	7851
506	16967	12783	25361
507	6	17336	4714
508	7329	28433	15730
509	13244	545	21645
510	14087	1398	22526
511	5	19801	7140
512	29269	16604	3888
513	2450	27735	6689
514	25071	12428	29317
515	26312	9477	7
516	10328	22976	6138
517	17669	6	13356
518	5	13573	1005
519	20193	6	16007
520	2382	10763	27719
521	5	13192	21634
522	4008	29261	8211
523	780	6	5030
524	3	25024	33392
525	3211	24259	7377
526	3554	33066	11958
527	7338	19997	3121
528	13966	26668	18188
529	15892	24289	20110
530	5	10573	6307
531	13722	26424	22165
532	7	11460	7195
533	20359	7	28764
534	11191	19678	15471
535	10293	22871	14507
536	24159	7	19941
537	21098	67	25322
538	31074	1581	6
539	5	3061	32552
540	29638	4356	4
541	10459	16085	6194
542	2478	27706	6737
543	15579	2874	7146
544	6	17486	25882
545	299	25442	4429
546	9267	5041	17661
547	23297	19155	5
548	3574	5	12028
549	7964	3753	16457
550	22131	13694	9
551	9844	1357	18279
552	7	23833	6963
553	11796	5	16014
554	8399	29488	12666
555	9666	4	13846
556	7	19103	2277
557	20586	7996	24806
558	6853	27932	11014
559	28798	11914	5
560	7790	24622	11946
561	4465	8	17047
562	1156	22273	9616
563	18587	5971	27026
564	18981	10581	9
565	14899	6436	27574
566	32583	19911	7279
567	3807	24819	12242
568	651	25979	13277
569	21756	13319	4835
570	22815	14372	5890
571	3382	24397	15962
572	15309	6827	6
573	26398	17961	9570
574	23051	14573	1958
575	335	25622	21404
576	23207	10551	6357
577	2544	27848	23624
578	29089	12222	8056
579	20916	3996	5
580	10537	27366	14669
581	18060	5363	5
582	26985	7	5969
583	14552	18779	27197
584	14858	10645	23257
585	24585	16182	20408
586	3914	5	12339
587	5	231	8600
588	15410	23809	28072
589	33343	5	1154
590	6753	10936	27765
591	21913	26122	9237
592	22171	6	9516
593	25156	33592	12457
594	2617	11020	17741
595	7	8074	16609
596	7	8888	20400
597	22080	3213	7351
598	28978	20567	7957
599	2945	24132	15631
600	3834	24956	16514
601	14267	1602	26865
602	14130	1432	26735
603	7	22740	10187
604	13707	17801	5
605	16307	28984	12102
606	20208	7583	16088
607	7	16574	29231
608	16651	29250	8216
609	13920	7	5523
610	16187	28809	7696
611	27147	10344	18747
612	45658	5	3465
613	23901	2842	15462
614	11997	24608	3494
615	29190	12324	20798
616	21454	8788	17230
617	30141	13299	21738
618	10860	27695	2416
619	16547	7	3857
620	8	24547	20284
621	19873	11427	7132
622	5	21720	17498
623	1717	27050	22817
624	14243	5757	1514
625	5	24499	20273
626	21736	13326	9076
627	5229	6	30641
628	21638	4898	5
629	1768	18595	10173
630	22726	5929	8
631	14539	7	22986
632	564	17529	9085
633	7	12870	4385
634	10696	27583	19073
635	17565	5043	30199
636	6006	8	14411
637	9	8757	21372
638	14311	26978	5844
639	13669	26358	5228
640	29049	7966	24764
641	28509	3113	24214
642	26081	5001	19202
643	23944	7081	11284
644	32134	11028	19485
645	6	10481	14570
646	18032	5	5392
647	6361	6	2141
648	6216	14665	27341
649	4493	12874	25520
650	9338	7	21941
651	16112	7645	3468
652	8483	18	25378
653	13757	1077	30673
654	13262	4819	648
655	29467	16812	8375
656	1570	5	5732
657	21032	16774	8375
658	9049	13082	436
659	7	8001	29068
660	4005	12435	6
661	7696	16328	3476
662	22040	6	17824
663	7176	32477	2938
664	16756	25163	12489
665	7	7996	29049
666	16393	29060	12136
667	11705	24407	7518
668	12743	25399	8568
