
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
394	14	24	20
395	17	21	13
396	18	23	14
397	76	65	72
398	17	13	21
399	12	16	21
400	21	25	16
401	13	22	17
402	16	23	12
403	18	23	14
404	23	12	19
405	19	23	14
406	18	23	14
407	23	14	19
408	20	14	24
409	21	17	12
410	19	23	14
411	23	18	14
412	13	23	19
413	21	17	12
414	23	19	14
415	23	19	14
416	13	17	22
417	14	18	25
418	14	21	25
419	21	16	12
420	12	23	18
421	12	21	16
422	14	20	25
423	14	23	19
424	12	17	21
425	23	18	14
426	14	23	19
427	23	15	19
428	17	13	23
429	12	21	17
430	19	14	23
431	13	17	23
432	14	19	23
433	14	19	23
434	13	23	19
435	13	19	23
436	12	16	21
437	12	21	16
438	20	25	16
439	25	20	16
440	16	21	12
441	25	14	20
442	17	22	13
443	14	23	19
444	13	17	21
445	25	20	16
446	22	13	17
447	17	21	13
448	13	17	23
449	17	21	12
450	25	16	21
451	23	14	19
452	21	17	12
453	14	18	23
454	15	19	23
455	21	17	13
456	82	63	73
457	21	16	12
458	19	23	14
459	14	18	25
460	23	15	19
461	17	13	22
462	21	25	16
463	22	17	13
464	23	13	19
465	25	14	21
466	16	21	12
467	21	25	16
468	23	14	19
469	19	14	25
470	12	21	17
471	22	1852	32
472	14	25	20
473	18	23	14
474	12	23	18
475	12	23	18
476	12	17	23
477	24	20	16
478	14	93	20
479	20	14	25
480	10	15	918
481	23	15	19
482	44	49	40
483	17	21	12
484	13	21	17
485	18	14	23
486	18	14	25
487	20	24	16
488	13	23	19
489	17	22	13
490	23	12	19
491	21	25	16
492	13	17	23
493	12	21	17
494	20	25	16
495	12	23	19
496	17	13	22
497	1031	8	23
498	16	25	21
499	23	19	15
500	14	18	25
501	16	21	12
502	261	311	7
503	17	12	21
504	19	12	23
505	17	21	12
506	19	23	15
507	15	23	19
508	12	23	18
509	17	13	21
510	17	13	23
511	14	21	25
512	23	18	14
513	12	17	21
514	23	19	15
515	23	19	14
516	21	12	17
517	18	14	25
518	4168	15	11
519	13	776	9
520	16	20	24
521	10	1100	17
522	15	10	2818
523	23	18	14
524	17	21	13
525	18	14	25
526	13	38	17
527	12	21	17
528	43	21	17
529	14	19	23
530	17	12	23
531	15	34	11
532	11	174	17
533	19	14	23
534	21	17	25
535	14	23	18
536	19	23	14
537	51	60	56
538	14	23	19
539	17	12	21
540	23	15	19
541	13	17	23
542	21	17	13
543	13	21	17
544	21	25	16
545	14	18	23
546	19	12	23
547	81	76	85
548	19	23	15
549	25	17	21
550	12	18	23
551	15	42	11
552	25	16	21
553	25	18	14
554	25	20	16
555	313	9	13
556	17	23	12
557	23	14	18
558	18	14	23
559	22	17	13
560	9	13	757
561	21	17	13
562	16	21	12
563	25	21	16
564	21	13	17
565	19	14	25
566	21	14	25
567	55	60	97
568	1140	13	9
569	17	21	13
570	23	18	14
571	14	25	20
572	17	12	21
573	14	23	19
574	21	13	17
575	14	20	24
576	17	13	21
577	24	14	20
578	23	19	15
579	19	23	14
580	12	18	23
581	23	19	14
582	17	12	21
583	19	23	14
584	13	21	17
585	25	14	21
586	18	23	14
587	25	16	20
588	19	23	14
589	23	19	14
590	23	18	14
591	17	13	23
592	12	17	21
593	21	17	13
594	21	12	17
595	13	21	17
596	21	12	17
597	18	23	14
598	24	20	16
599	18	23	14
600	49	39	31
601	16	12	23
602	13	23	19
603	25	14	21
604	18	23	14
605	23	19	14
606	21	17	12
607	16	21	12
608	17	23	13
609	13	23	19
610	18	12	23
611	21	12	17
612	14	19	25
613	19	15	25
614	23	19	15
615	19	25	15
