
Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
314	3170	2151	1058
315	2595	1540	485
316	431	2541	1486
317	2989	1934	879
318	3164	2108	1053
319	1108	52	2163
320	1032	3144	2089
321	2453	1396	345
322	2447	1394	335
323	1283	228	2338
324	541	2655	1598
325	1977	922	3032
326	149	2259	1204
327	3084	2029	974
328	1535	480	2591
329	2469	1414	359
330	2580	1525	470
331	2040	985	3097
332	2817	1760	705
333	1988	933	3045
334	3137	2080	1025
335	2394	1339	282
336	1190	135	2246
337	1941	888	2996
338	234	2345	1290
339	2441	1388	331
340	674	2786	1731
341	684	2796	1742
342	601	2713	1660
343	1848	791	2903
344	2590	1533	478
345	127	2241	1184
346	1928	871	2983
347	2708	1653	598
348	569	2681	1626
349	2791	1736	681
350	1835	781	2891
351	1146	89	2203
352	1182	127	2237
353	1198	141	2253
354	2723	1668	613
355	3135	2080	1025
356	450	2561	1506
357	2495	1440	385
358	886	2998	1941
359	1388	333	2443
360	2933	1878	821
361	519	2629	1574
362	2199	1144	89
363	2600	1545	488
364	1598	541	2653
365	1304	249	2359
366	3028	1975	918
367	1649	592	2704
368	1337	280	2392
369	1029	3141	2084
370	1310	253	2365
371	3137	2080	1025
372	412	2522	1469
373	1892	837	2949
374	2631	1576	521
375	2599	1544	489
376	524	2632	1579
377	691	2801	1746
378	837	2949	1894
379	2236	1181	126
380	89	2199	1144
381	3105	2050	995
382	2206	1151	95
383	564	2674	1619
384	2099	1042	3154
385	56	2168	1113
386	2403	1348	293
387	811	2921	1868
388	591	2703	1646
389	706	2818	1763
390	668	2780	1723
391	25	2137	1082
392	127	2237	1182
393	185	2295	1240
394	944	3054	1999
395	251	2363	1308
396	1994	939	3052
397	355	2465	1410
398	2805	1750	695
399	1191	138	2246
400	395	2507	1452
401	2605	1550	495
402	549	2659	1602
403	1156	97	2209
404	1176	119	2231
405	72	2184	1129
406	33	2143	1090
407	684	2756	1699
408	1497	442	2552
409	1257	200	2312
410	1253	198	2308
411	2390	1335	278
412	331	2441	1386
413	1538	484	2593
414	242	2352	1297
415	631	2741	1686
416	2813	1760	703
417	998	3110	2055
418	835	2945	1892
419	1530	473	2585
420	1096	39	2153
421	1564	509	2621
422	2147	1092	37
423	1084	29	2139
424	2987	1932	877
425	2987	1932	875
426	1294	239	2349
427	1955	900	3010
428	3148	2093	1038
429	2531	1476	421
430	2958	1903	848
431	2953	1898	843
432	269	2360	1305
433	13	2123	1071
434	1782	727	2837
435	723	2831	1780
436	1027	3137	2082
437	1806	751	2861
438	1589	534	2646
439	1553	498	2608
440	2953	1898	843
441	3120	2063	1006
442	2160	1107	48
443	247	2357	1306
444	2960	1905	849
445	1308	251	2363
446	2383	1324	269
447	416	2526	1471
448	1863	808	2920
449	2063	1006	3120
450	761	2871	1816
451	3058	2005	946
452	1032	3144	2089
453	1042	3152	2099
454	2670	1615	560
455	2937	1880	825
456	337	2447	1392
457	226	2336	1281
458	286	2396	1341
